物件番号,所在地 建物名,価格,土地面積,建物面積,築年月,物件種別,沿線駅,交通,商号,電話番号
130550153,神奈川県川崎市⾼津区蟹ケ⾕,5980万円,87.91㎡,139.94㎡,2024年（令和 6年）10⽉,新築⼾建,南武線 武蔵中原,徒歩 30分,アクセスホーム（株）,03-5311-4949
129300794,神奈川県川崎市⾼津区梶ケ⾕５丁⽬,15800万円,329.86㎡,254.98㎡,2006年（平成18年） 2⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 15分,住友不動産販売（株） 溝の⼝営業センター,050-3112-8322
129284205,神奈川県川崎市⾼津区下作延６丁⽬,4980万円,58.08㎡,92.99㎡,2018年（平成30年） 5⽉,中古⼾建,南武線 津⽥⼭,徒歩 7分,住友不動産販売（株） 溝の⼝営業センター,050-3112-8322
130549401,神奈川県川崎市⾼津区下野⽑１丁⽬,4980万円,70.34㎡,95.26㎡,2020年（令和 2年） 3⽉,中古⼾建,⽥園都市線 溝の⼝,停歩 6分/バス 13分,住友不動産販売（株） 武蔵⼩杉営業センター,050-3112-8325
130548971,神奈川県川崎市⾼津区梶ケ⾕６丁⽬,5980万円,107.38㎡,100.19㎡,,新築⼾建,⽥園都市線 梶が⾕,徒歩 17分,（株）あさひハウジングセンター,8020528092
130548953,神奈川県川崎市⾼津区梶ケ⾕６丁⽬,5880万円,111.78㎡,96.23㎡,,新築⼾建,⽥園都市線 梶が⾕,徒歩 17分,（株）あさひハウジングセンター,8020528092
129530731,神奈川県川崎市⾼津区北⾒⽅１丁⽬,4850万円,86.24㎡,90.03㎡,2000年（平成12年） 7⽉,中古⼾建,⽥園都市線 溝の⼝,徒歩 20分,（株）ホームスター,03-6416-8032
100129819893,神奈川県川崎市⾼津区末⻑２丁⽬,5100万円,96.33㎡,99.00㎡,2013年（平成25年） 9⽉,中古⼾建,南武線 武蔵溝ノ⼝,徒歩 16分,野村不動産ソリューションズ（株） 渋⾕営業部,03-5766-2815
100130399398,神奈川県川崎市⾼津区下作延２丁⽬,6480万円,80.59㎡,98.94㎡,2014年（平成26年）12⽉,中古⼾建,⽥園都市線 梶が⾕,徒歩 7分,（株）エヌアセット,050-3196-8186
100125436101,神奈川県川崎市⾼津区北⾒⽅３丁⽬,4898万円,75.35㎡,100.60㎡,1996年（平成 8年） 2⽉,中古⼾建,南武線 武蔵新城,徒歩 17分,㈱ハウスドゥ・ジャパン 新⽥駅前店,03-5711-8534
